24-06-08--18-43-26

nb_nodes=100
bsz=512
dim_emb=128
dim_ff=512
dim_input_nodes=2
nb_layers_encoder=6
nb_layers_decoder=2
nb_heads=8
nb_epochs=10000
nb_batch_per_epoch=25
nb_batch_eval=20
gpu_id=0,1
lr=0.0001
tol=0.001
batchnorm=True
max_len_PE=1000


Epoch: 174, epoch time: 0.405min, tot time: 0.070day, L_train: 8.925, L_base: 8.948, gap_train(%): 14.933, update: True
Epoch: 175, epoch time: 0.406min, tot time: 0.071day, L_train: 8.950, L_base: 8.922, gap_train(%): 15.256, update: False
Epoch: 176, epoch time: 0.406min, tot time: 0.071day, L_train: 8.938, L_base: 8.917, gap_train(%): 15.102, update: False
Epoch: 177, epoch time: 0.404min, tot time: 0.072day, L_train: 8.944, L_base: 8.917, gap_train(%): 15.183, update: False
Epoch: 178, epoch time: 0.406min, tot time: 0.072day, L_train: 8.919, L_base: 8.914, gap_train(%): 14.856, update: False
Epoch: 179, epoch time: 0.405min, tot time: 0.072day, L_train: 8.957, L_base: 8.918, gap_train(%): 15.349, update: False
Epoch: 180, epoch time: 0.404min, tot time: 0.073day, L_train: 8.949, L_base: 8.915, gap_train(%): 15.244, update: False
Epoch: 181, epoch time: 0.406min, tot time: 0.073day, L_train: 8.969, L_base: 8.924, gap_train(%): 15.503, update: False
Epoch: 182, epoch time: 0.405min, tot time: 0.074day, L_train: 8.928, L_base: 8.922, gap_train(%): 14.982, update: False
Epoch: 183, epoch time: 0.405min, tot time: 0.074day, L_train: 8.947, L_base: 8.919, gap_train(%): 15.221, update: False
Epoch: 184, epoch time: 0.405min, tot time: 0.074day, L_train: 8.910, L_base: 8.913, gap_train(%): 14.746, update: True
Epoch: 185, epoch time: 0.405min, tot time: 0.075day, L_train: 8.927, L_base: 8.916, gap_train(%): 14.965, update: False
Epoch: 186, epoch time: 0.405min, tot time: 0.075day, L_train: 8.926, L_base: 8.921, gap_train(%): 14.951, update: False
Epoch: 187, epoch time: 0.404min, tot time: 0.075day, L_train: 8.937, L_base: 8.923, gap_train(%): 15.092, update: False
Epoch: 188, epoch time: 0.404min, tot time: 0.076day, L_train: 8.920, L_base: 8.911, gap_train(%): 14.868, update: False
Epoch: 189, epoch time: 0.404min, tot time: 0.076day, L_train: 8.951, L_base: 8.915, gap_train(%): 15.279, update: False
Epoch: 190, epoch time: 0.404min, tot time: 0.077day, L_train: 8.938, L_base: 8.914, gap_train(%): 15.103, update: False
Epoch: 191, epoch time: 0.406min, tot time: 0.077day, L_train: 8.954, L_base: 8.910, gap_train(%): 15.310, update: False
Epoch: 192, epoch time: 0.405min, tot time: 0.077day, L_train: 8.952, L_base: 8.918, gap_train(%): 15.283, update: False
Epoch: 193, epoch time: 0.406min, tot time: 0.078day, L_train: 8.942, L_base: 8.916, gap_train(%): 15.162, update: False
Epoch: 194, epoch time: 0.405min, tot time: 0.078day, L_train: 8.943, L_base: 8.917, gap_train(%): 15.170, update: False
Epoch: 195, epoch time: 0.405min, tot time: 0.079day, L_train: 8.933, L_base: 8.914, gap_train(%): 15.044, update: False
Epoch: 196, epoch time: 0.404min, tot time: 0.079day, L_train: 8.965, L_base: 8.913, gap_train(%): 15.449, update: False
Epoch: 197, epoch time: 0.405min, tot time: 0.079day, L_train: 8.930, L_base: 8.917, gap_train(%): 15.001, update: False
Epoch: 198, epoch time: 0.406min, tot time: 0.080day, L_train: 8.905, L_base: 8.915, gap_train(%): 14.685, update: True
Epoch: 199, epoch time: 0.406min, tot time: 0.080day, L_train: 8.891, L_base: 8.913, gap_train(%): 14.506, update: True
Epoch: 200, epoch time: 0.404min, tot time: 0.081day, L_train: 8.890, L_base: 8.887, gap_train(%): 14.492, update: False
Epoch: 201, epoch time: 0.407min, tot time: 0.081day, L_train: 8.941, L_base: 8.887, gap_train(%): 15.139, update: False
Epoch: 202, epoch time: 0.406min, tot time: 0.081day, L_train: 8.925, L_base: 8.885, gap_train(%): 14.941, update: False
Epoch: 203, epoch time: 0.404min, tot time: 0.082day, L_train: 8.898, L_base: 8.884, gap_train(%): 14.587, update: False
Epoch: 204, epoch time: 0.404min, tot time: 0.082day, L_train: 8.865, L_base: 8.878, gap_train(%): 14.167, update: True
Epoch: 205, epoch time: 0.406min, tot time: 0.083day, L_train: 8.878, L_base: 8.876, gap_train(%): 14.339, update: False
Epoch: 206, epoch time: 0.404min, tot time: 0.083day, L_train: 8.865, L_base: 8.864, gap_train(%): 14.167, update: False
Epoch: 207, epoch time: 0.406min, tot time: 0.083day, L_train: 8.903, L_base: 8.872, gap_train(%): 14.653, update: False
Epoch: 208, epoch time: 0.406min, tot time: 0.084day, L_train: 8.880, L_base: 8.865, gap_train(%): 14.358, update: False
